Material,Predicted log Conductivity
KLiHoF5,-2.745548479604156
SrLiAlF6,-4.417635758817814
LiCoNiF6,-3.9646691557762517
LiVF6,-2.7993219566095893
Ba4Li(BN2)3,-4.1740183403551825
LiCaVF6,-2.2447897408590256
LiMgN,-2.332974139248363
Na3LiP2O7,-2.6528490277993937
LiTi2(PO4)3,-2.2779132221239236
LiNiF3,-4.055327491782494
LiV3(TeO6)2,-3.1738912804994612
Rb2LiMn3F12,-3.620701070689784
LiLa4NiO8,-2.090433576480837
LiMnPO4,-3.697979490591744
Rb6LiNd11Se12(Cl4O9)4,-3.6300187555676358
KLi(PO3)2,-3.046820806756306
Rb2LiTbCl6,-2.653023513285547
LiNbCoO4,-3.4913056478180833
LiCr4(PO4)3,-4.707410929765156
LiZr2(PO4)3,-2.1619901658612526
LiSnPO4,-3.9773815142947018
LiMg2H7Ru,-3.1588023187931364
LiBeH3,-2.0900799558535335
LiVP2O7,-2.879443423826046
LiFe(MoO4)2,-4.139381249199602
LiAl5O8,-4.603908366352694
LiFe(PO3)4,-2.905322928586248
LiCdPO4,-3.611593185390001
LiH3(SeO3)2,-3.7636629607474474
Rb2LiBiCl6,-2.791699290558877
LiP4WO12,-2.6182681558446284
LiUP(H4O5)2,-2.419539591720971
NaLiS,-2.629904788752688
LiTm(WO4)2,-3.6486555299077468
KLiB4O7,-5.544496464716214
LiU4P3O20,-2.2425506383227494
RbLiS,-3.4124003001406757
Na5LiMn2P2(CO7)2,-4.132821968344615
LiGaSiO4,-4.352285204119798
LiNi(PO3)3,-3.5091421601076194
LiIO3,-2.6196001831344398
Na5LiMn2P2(CO7)2,-4.132821968344615
LiScP2O7,-2.489825231925468
LiVFe(P2O7)2,-2.3407291107056256
Na2LiAlP2,-3.4995973815577184
LiNi3P3O11,-3.4178046351274394
LiH7(SO4)4,-3.0473708542575193
LiFeP2O7,-3.692900264122724
LiTi2(PO4)3,-2.2779132221239236
K2LiInF6,-3.8828028542946247
LiHF2,-1.5308741441695177
Rb2LiAsO4,-3.225574932033147
LiHS,-1.7860796718860243
LiNbTe2WO12,-3.6226103541027914
KLiLuF5,-1.9862832387793974
LiCoF4,-3.5314387199340547
LiIn(SiO3)2,-3.9782885942981965
LiDySe2,-3.103695922985593
LiFeF4,-3.8302571637310336
LiCr(SO4)2,-3.356496147131795
Na5LiFe2P2(CO7)2,-4.306551746375832
LiCr(PO3)4,-3.5721038799194105
LiSn2(PO4)3,-3.4054138263059874
Ba2LiIO6,-3.4327094592699687
